Мақоми давлатӣ,Категория,№,Рамзи хизматрасонӣ,Номгӯйи хизматрасонӣ,Гирандаи хизматрасонӣ,Хизматрасонанда,Ташкилоти қабул ва додани натиҷа,Шакли хизматрасонӣ,Музднок ё ройгон
ҲУКУМАТИ ҶУМҲУРИИ ТОҶИКИСТОН,Иҷозатнома,1,000001,"Иҷозатнома барои фаъолият вобаста ба корҳои ҷустуҷӯйӣ, арзёбӣ ва иктишофи геологии сарватҳои зеризаминӣ",Шахсони ҳуқуқӣ,Ҳукумати Ҷумҳурии Тоҷикистон,Саридораи геологияи назди Ҳукумати Ҷумҳурии Тоҷикистон,"Коғазӣ, электронӣ",Музднок
ҲУКУМАТИ ҶУМҲУРИИ ТОҶИКИСТОН,Иҷозатнома,2,000002,"Иҷозатнома барои фаъолият вобаста ба ҷамъоварии коллексияҳои минералогӣ, палеонтологӣ ва ҷинсҳои кӯҳӣ",Шахсони ҳуқуқӣ,Ҳукумати Ҷумҳурии Тоҷикистон,Саридораи геологияи назди Ҳукумати Ҷумҳурии Тоҷикистон,"Коғазӣ, электронӣ",Музднок
ҲУКУМАТИ ҶУМҲУРИИ ТОҶИКИСТОН,Иҷозатнома,3,000003,Иҷозатнома барои фаъолият вобаста ба истихроҷи нафту газ,Шахсони ҳуқуқӣ,Ҳукумати Ҷумҳурии Тоҷикистон,Вазорати энергетика ва захираҳои оби Ҷумҳурии Тоҷикистон,"Коғазӣ, электронӣ",Музднок
ҲУКУМАТИ ҶУМҲУРИИ ТОҶИКИСТОН,Иҷозатнома,4,000004,Иҷозатнома барои фаъолият вобаста ба истихроҷи ангишт,Шахсони ҳуқуқӣ,Ҳукумати Ҷумҳурии Тоҷикистон,Вазорати саноат ва технологияи нави Ҷумҳурии Тоҷикистон,"Коғазӣ, электронӣ",Музднок
ҲУКУМАТИ ҶУМҲУРИИ ТОҶИКИСТОН,Иҷозатнома,5,000005,Иҷозатнома барои фаъолият марбут ба истифодаи дигар сарватҳои зеризаминии маъданӣ,Шахсони ҳуқуқӣ,Ҳукумати Ҷумҳурии Тоҷикистон,Вазорати саноат ва технологияи нави Ҷумҳурии Тоҷикистон,"Коғазӣ, электронӣ",Музднок
ҲУКУМАТИ ҶУМҲУРИИ ТОҶИКИСТОН,Иҷозатнома,6,000006,Иҷозатнома барои фаъолияти вобаста ба истифодабарии сарватҳои зеризаминии ғайримаъданӣ,Шахсони ҳуқуқӣ,Ҳукумати Ҷумҳурии Тоҷикистон,Вазорати саноат ва технологияи нави Ҷумҳурии Тоҷикистон,"Коғазӣ, электронӣ",Музднок
ҲУКУМАТИ ҶУМҲУРИИ ТОҶИКИСТОН,Иҷозатнома,7,000007,Иҷозатнома барои фаъолият вобаста ба истифодаи партовҳои истеҳсолоти истихроҷи маъдани кӯҳӣ ва коркарди он,Шахсони ҳуқуқӣ,Ҳукумати Ҷумҳурии Тоҷикистон,Вазорати саноат ва технологияи нави Ҷумҳурии Тоҷикистон,"Коғазӣ, электронӣ",Музднок
АГЕНТИИ НАЗОРАТ ДАР СОҲАИ МАОРИФ ВА ИЛМИ НАЗДИ ПРЕЗИДЕНТИ ҶУМҲУРИИ ТОҶИКИСТОН,Иҷозатнома,31,000031,Иҷозатнома оид ба пешбурди фаъолияти таълимӣ,Шахсони ҳуқуқӣ,Агентии назорат дар соҳаи маориф ва илми назди Президенти Ҷумҳурии Тоҷикистон,Агентии назорат дар соҳаи маориф ва илми назди Президенти Ҷумҳурии Тоҷикистон,"Коғазӣ, электронӣ",Музднок
АГЕНТИИ НАЗОРАТ ДАР СОҲАИ МАОРИФ ВА ИЛМИ НАЗДИ ПРЕЗИДЕНТИ ҶУМҲУРИИ ТОҶИКИСТОН,Хулоса,32,000032,Хулоса аз натиҷаи аттестатсияи давлатии муассисаи таълимӣ,Шахсони ҳуқуқӣ,Агентии назорат дар соҳаи маориф ва илми назди Президенти Ҷумҳурии Тоҷикистон,Агентии назорат дар соҳаи маориф ва илми назди Президенти Ҷумҳурии Тоҷикистон,"Коғазӣ, электронӣ",Музднок
АГЕНТИИ НАЗОРАТ ДАР СОҲАИ МАОРИФ ВА ИЛМИ НАЗДИ ПРЕЗИДЕНТИ ҶУМҲУРИИ ТОҶИКИСТОН,Шаҳодатнома,33,000033,Шаҳодатнома дар бораи аккредитатсияи давлатии муассисаҳо таълимӣ,Шахсони ҳуқуқӣ,Агентии назорат дар соҳаи маориф ва илми назди Президенти Ҷумҳурии Тоҷикистон,Агентии назорат дар соҳаи маориф ва илми назди Президенти Ҷумҳурии Тоҷикистон,"Коғазӣ, электронӣ",Музднок
