Мақоми давлатӣ,Категория,№,Рамзи хизматрасонӣ,Номгӯйи хизматрасонӣ,Гирандаи хизматрасонӣ,Хизматрасонанда,Ташкилоти қабул ва додани натиҷа,Шакли хизматрасонӣ,Музднок ё ройгон
ҲУКУМАТИ ҶУМҲУРИИ ТОҶИКИСТОН,Иҷозат,8,000008,"Иҷозат барои воридоти навъҳои алоҳидаи молҳо (кор ва хизматрасониҳо)-е, ки номгўйи онҳо бо қарори Ҳукумати Ҷумҳурии Тоҷикистон тасдиқ гардидааст",Шахсони воқеӣ ва ҳуқуқӣ,Ҳукумати Ҷумҳурии Тоҷикистон,Вазорати рушди иқтисод ва савдои Ҷумҳурии Тоҷикистон,"Коғазӣ, электронӣ",Ройгон
ҲУКУМАТИ ҶУМҲУРИИ ТОҶИКИСТОН,Иҷозат,9,000009,"Иҷозат барои содироти навъҳои алоҳидаи молҳо (кор ва хизматрасониҳо)-е, ки номгўйи онҳо бо қарори Ҳукумати Ҷумҳурии Тоҷикистон тасдиқ гардидааст",Шахсони воқеӣ ва ҳуқуқӣ,Ҳукумати Ҷумҳурии Тоҷикистон,Вазорати рушди иқтисод ва савдои Ҷумҳурии Тоҷикистон,"Коғазӣ, электронӣ",Ройгон
ҲУКУМАТИ ҶУМҲУРИИ ТОҶИКИСТОН,Иҷозат,10,000010,"Иҷозат барои транзити навъҳои алоҳидаи молҳо (кор ва хизматрасониҳо)-е, ки номгўйи онҳо бо қарори Ҳукумати Ҷумҳурии Тоҷикистон тасдиқ гардидааст",Шахсони воқеӣ ва ҳуқуқӣ,Ҳукумати Ҷумҳурии Тоҷикистон,Вазорати рушди иқтисод ва савдои Ҷумҳурии Тоҷикистон,"Коғазӣ, электронӣ",Ройгон
ҲУКУМАТИ ҶУМҲУРИИ ТОҶИКИСТОН,Иҷозат,11,000011,Иҷозат барои ҷойгир кардани рекламаи берунӣ,Шахсони воқеӣ ва ҳуқуқӣ,Мақомоти маҳаллии ҳокимияти давлатӣ,Мақомоти маҳаллии ҳокимияти давлатӣ,"Коғазӣ, электронӣ",Музднок
ҲУКУМАТИ ҶУМҲУРИИ ТОҶИКИСТОН,Иҷозат,12,000012,Иҷозати сохтмони бино ва иншоот,Шахсони воқеӣ ва ҳуқуқӣ,Мақомоти маҳаллии ҳокимияти давлатӣ,Мақомоти маҳаллии ҳокимияти давлатӣ,"Коғазӣ, электронӣ",Ройгон
ҲУКУМАТИ ҶУМҲУРИИ ТОҶИКИСТОН,Иҷозат,13,000013,Иҷозат барои таъсиси шабакаҳои кабелии пахши барномаҳо,Шахсони воқеӣ ва ҳуқуқӣ,Мақомоти маҳаллии ҳокимияти давлатӣ,Мақомоти маҳаллии ҳокимияти давлатӣ,"Коғазӣ, электронӣ",Ройгон
ҲУКУМАТИ ҶУМҲУРИИ ТОҶИКИСТОН,Қарор,14,000014,Қарор дар бораи гирифтан ва ба шахсони воқеӣ ва ҳуқуқӣ додани қитъаи замин,Шахсони воқеӣ ва ҳуқуқӣ,Ҳукумати Ҷумҳурии Тоҷикистон,Кумитаи давлатии идораи замин ва геодезии Ҷумҳурии Тоҷикистон,"Коғазӣ, электронӣ",Ройгон
ҲУКУМАТИ ҶУМҲУРИИ ТОҶИКИСТОН,Қарор,15,000015,"Қарор дар бораи тасдиқи санади комиссияи давлатии қабули иншооти сохтмонаш баитмомрасида (дар объектҳои дорои аҳаммияти ҷумҳуриявӣ ва стратегӣ, ки номгўи онҳоро Ҳукумати Ҷумҳурии Тоҷикистон тасдиқ намудааст)",Шахсони воқеӣ ва ҳуқуқӣ,Ҳукумати Ҷумҳурии Тоҷикистон,Ҳукумати Ҷумҳурии Тоҷикистон,"Коғазӣ, электронӣ",Ройгон
ҲУКУМАТИ ҶУМҲУРИИ ТОҶИКИСТОН,Қарор,16,000016,"Қарор дар бораи муайян намудани фармоишгари сохтмон (барои объектҳои дорои аҳаммияти ҷумҳуриявӣ ва стратегӣ, ки номгўи онҳоро Ҳукумати Ҷумҳурии Тоҷикистон тасдиқ намудааст)",Шахсони воқеӣ ва ҳуқуқӣ,Ҳукумати Ҷумҳурии Тоҷикистон,Ҳукумати Ҷумҳурии Тоҷикистон,"Коғазӣ, электронӣ",Ройгон
ҲУКУМАТИ ҶУМҲУРИИ ТОҶИКИСТОН,Қарор,17,000017,"Қарор дар бораи сохтмони бино ва иншоот (барои объектҳои дорои аҳаммияти ҷумҳуриявӣ ва стратегӣ, ки номгўйи онҳоро Ҳукумати Ҷумҳурии Тоҷикистон тасдиқ намудааст)",Шахсони воқеӣ ва ҳуқуқӣ,Ҳукумати Ҷумҳурии Тоҷикистон,Ҳукумати Ҷумҳурии Тоҷикистон,"Коғазӣ, электронӣ",Ройгон
